OrderID,OrderDate,CustomerID,Region,Category,SubCategory,Product,Quantity,UnitPrice,Sales,Profit
1036,2023-06-01,CUST463,South,Technology,Phones,Phone A,6,676,4056,623.64
1037,2023-08-21,CUST180,North,Technology,Accessories,Accessory B,1,834,834,203.79
1038,2023-02-21,CUST268,North,Technology,Accessories,Accessory B,7,390,2730,525.4
1039,2023-04-11,CUST113,North,Furniture,Chairs,Chair B,8,85,680,70.28
1040,2023-01-02,CUST130,North,Technology,Phones,Phone A,6,859,5154,544.93
1041,2023-08-13,CUST385,North,Technology,Phones,Phone C,3,642,1926,152.11
1042,2023-06-21,CUST218,East,Technology,Accessories,Accessory A,6,420,2520,424.72
1043,2023-07-22,CUST184,West,Furniture,Tables,Table B,1,771,771,162.39
1044,2023-11-21,CUST372,West,Furniture,Bookcases,Bookcase A,2,202,404,52.43
1045,2023-08-28,CUST144,East,Technology,Laptops,Laptop A,1,205,205,23.4
1046,2023-11-22,CUST464,West,OfficeSupplies,Art,Art B,3,664,1992,229.46
1047,2023-12-12,CUST451,North,OfficeSupplies,Binders,Binder A,3,152,456,81.64
1048,2023-11-04,CUST489,North,Furniture,Bookcases,Bookcase A,1,940,940,119.71
1049,2023-12-04,CUST360,South,Furniture,Chairs,Chair C,1,783,783,92.56
1050,2023-05-31,CUST415,West,OfficeSupplies,Binders,Binder A,3,267,801,145.78
1051,2023-12-12,CUST112,West,Technology,Phones,Phone A,9,576,5184,529.63
1052,2023-10-31,CUST254,South,Furniture,Chairs,Chair C,5,41,205,46.44
1053,2023-01-09,CUST233,North,Furniture,Chairs,Chair A,3,663,1989,388.24
1054,2023-05-11,CUST404,East,Technology,Accessories,Accessory B,8,58,464,95.57
1055,2023-04-26,CUST075,North,Furniture,Bookcases,Bookcase A,1,972,972,201.27
1056,2023-04-14,CUST340,North,Furniture,Chairs,Chair B,3,116,348,24.46
1057,2023-04-09,CUST153,West,OfficeSupplies,Art,Art B,2,900,1800,199.93
1058,2023-07-13,CUST310,East,Furniture,Tables,Table B,3,724,2172,540.59
1059,2023-06-10,CUST068,East,Furniture,Chairs,Chair B,1,402,402,46.26
1060,2023-05-15,CUST195,North,Furniture,Bookcases,Bookcase B,1,644,644,105.4
1061,2023-01-22,CUST238,West,Technology,Accessories,Accessory A,6,234,1404,180.58
1062,2023-09-21,CUST283,South,Furniture,Bookcases,Bookcase B,2,281,562,84.6
1063,2023-10-11,CUST367,North,Furniture,Chairs,Chair B,1,457,457,43.89
1064,2023-10-31,CUST147,South,Technology,Laptops,Laptop B,4,551,2204,448.98
1065,2023-01-17,CUST172,West,Furniture,Chairs,Chair A,5,522,2610,323.72
1066,2023-08-21,CUST037,South,OfficeSupplies,Art,Art A,8,353,2824,383.04
1067,2023-06-30,CUST095,West,Technology,Phones,Phone C,3,704,2112,465.91
1068,2023-07-10,CUST253,South,Furniture,Tables,Table B,5,932,4660,1026.26
1069,2023-09-13,CUST323,South,Furniture,Bookcases,Bookcase A,2,797,1594,205.53
1070,2023-02-23,CUST058,South,Technology,Laptops,Laptop B,3,876,2628,168.41
1071,2023-04-24,CUST288,East,Furniture,Tables,Table B,6,667,4002,312.22
1072,2023-06-04,CUST490,West,OfficeSupplies,Art,Art B,2,990,1980,392.34
1073,2023-10-26,CUST246,East,OfficeSupplies,Binders,Binder A,7,481,3367,368.02
1074,2023-01-26,CUST355,South,OfficeSupplies,Art,Art A,2,925,1850,318.76
1075,2023-11-12,CUST391,South,Technology,Laptops,Laptop B,9,40,360,75.48
1076,2023-11-17,CUST264,West,OfficeSupplies,Paper,Paper B,3,475,1425,79.12
1077,2023-12-20,CUST322,East,OfficeSupplies,Paper,Paper A,7,963,6741,385.51
1078,2023-06-02,CUST186,North,OfficeSupplies,Art,Art A,6,318,1908,423.73
1079,2023-11-01,CUST180,West,Technology,Laptops,Laptop A,6,787,4722,576.26
1080,2023-04-11,CUST481,East,Furniture,Tables,Table B,8,57,456,47.56
1081,2023-04-18,CUST005,North,Technology,Phones,Phone B,7,200,1400,305.77
1082,2023-12-16,CUST047,East,OfficeSupplies,Paper,Paper A,3,827,2481,192.7
1083,2023-05-24,CUST269,South,OfficeSupplies,Paper,Paper A,2,640,1280,246.94
1084,2023-05-27,CUST145,West,OfficeSupplies,Binders,Binder B,8,835,6680,913.18
1085,2023-02-27,CUST439,West,Technology,Accessories,Accessory A,5,478,2390,579.65
1086,2023-10-06,CUST127,West,OfficeSupplies,Paper,Paper B,9,912,8208,1081.74
1087,2023-02-27,CUST122,East,OfficeSupplies,Paper,Paper B,1,755,755,75.54
1088,2023-05-06,CUST118,West,OfficeSupplies,Art,Art B,9,492,4428,1049.09
1089,2023-09-29,CUST189,West,Technology,Accessories,Accessory B,7,708,4956,797.28
1090,2023-10-05,CUST349,West,Furniture,Chairs,Chair B,7,967,6769,673.83
1091,2023-05-24,CUST435,West,Technology,Phones,Phone A,5,90,450,23.8
1092,2023-08-08,CUST069,North,OfficeSupplies,Binders,Binder B,1,98,98,21.67
1093,2023-07-23,CUST400,North,Furniture,Chairs,Chair A,5,555,2775,330.95
1094,2023-09-11,CUST222,North,OfficeSupplies,Paper,Paper A,5,27,135,8.05
1095,2023-09-03,CUST325,South,OfficeSupplies,Binders,Binder A,4,806,3224,329.42
1096,2023-09-07,CUST147,East,Furniture,Bookcases,Bookcase A,1,329,329,61.45
1097,2023-01-16,CUST280,North,OfficeSupplies,Art,Art B,7,262,1834,101.42
1098,2023-06-09,CUST475,East,Technology,Phones,Phone A,4,668,2672,495.48
1099,2023-06-12,CUST380,West,Technology,Laptops,Laptop A,1,933,933,198.02
1100,2023-04-11,CUST268,East,OfficeSupplies,Paper,Paper A,3,581,1743,422.22
1101,2023-11-26,CUST043,West,Technology,Accessories,Accessory A,2,257,514,35.41
1102,2023-02-04,CUST215,North,OfficeSupplies,Binders,Binder B,1,94,94,10.7
1103,2023-03-31,CUST418,West,OfficeSupplies,Paper,Paper B,3,621,1863,277.97
1104,2023-11-10,CUST114,South,OfficeSupplies,Binders,Binder B,8,424,3392,453.13
1105,2023-09-06,CUST164,North,OfficeSupplies,Paper,Paper B,5,461,2305,377.34
1106,2023-08-15,CUST177,South,Furniture,Chairs,Chair B,3,552,1656,206.01
1107,2023-04-06,CUST152,West,Technology,Phones,Phone A,7,194,1358,220.5
1108,2023-09-25,CUST369,North,Technology,Laptops,Laptop A,7,529,3703,733.13
1109,2023-12-21,CUST361,West,Technology,Phones,Phone A,1,885,885,133.68
1110,2023-08-05,CUST342,East,Technology,Phones,Phone B,3,181,543,32.96
1111,2023-08-21,CUST403,South,Furniture,Bookcases,Bookcase B,9,459,4131,997.06
1112,2023-08-11,CUST384,West,Technology,Accessories,Accessory A,4,855,3420,508.23
1113,2023-05-24,CUST373,East,Technology,Laptops,Laptop B,5,103,515,87.8
1114,2023-02-22,CUST151,East,Technology,Laptops,Laptop B,9,43,387,26.41
1115,2023-02-11,CUST186,South,Technology,Accessories,Accessory A,7,402,2814,449.97
1116,2023-05-13,CUST163,East,Technology,Accessories,Accessory A,7,737,5159,620.02
1117,2023-05-26,CUST239,South,OfficeSupplies,Paper,Paper B,9,78,702,152.61
1118,2023-09-10,CUST230,North,Furniture,Tables,Table B,7,178,1246,236.98
1119,2023-06-19,CUST393,South,Technology,Phones,Phone A,2,799,1598,305.62
1120,2023-01-05,CUST029,South,Furniture,Chairs,Chair C,5,426,2130,526.81
1121,2023-12-31,CUST321,East,OfficeSupplies,Art,Art B,6,504,3024,294.35
1122,2023-11-23,CUST217,South,Furniture,Chairs,Chair B,4,808,3232,404.81
1123,2023-10-02,CUST445,West,OfficeSupplies,Art,Art B,6,171,1026,138.35
1124,2023-12-12,CUST019,East,Technology,Laptops,Laptop B,7,130,910,135.16
1125,2023-05-21,CUST242,East,Technology,Laptops,Laptop A,4,480,1920,390.6
1126,2023-12-27,CUST423,North,Technology,Laptops,Laptop A,1,391,391,65.17
1127,2023-07-09,CUST191,East,Furniture,Chairs,Chair A,1,413,413,92.4
1128,2023-04-27,CUST134,East,OfficeSupplies,Paper,Paper A,5,84,420,65.33
1129,2023-07-22,CUST252,West,Technology,Accessories,Accessory A,5,680,3400,546.62
1130,2023-01-20,CUST441,East,OfficeSupplies,Art,Art A,2,51,102,17.94
1131,2023-01-14,CUST143,East,Technology,Accessories,Accessory B,1,377,377,71.4
1132,2023-09-16,CUST144,South,OfficeSupplies,Binders,Binder B,7,957,6699,1561.21
1133,2023-11-26,CUST224,South,Technology,Phones,Phone B,8,362,2896,408.72
1134,2023-06-05,CUST373,North,Furniture,Chairs,Chair C,8,126,1008,88.33
1135,2023-03-31,CUST136,South,Technology,Phones,Phone B,2,544,1088,71.32
1136,2023-02-10,CUST228,South,Furniture,Bookcases,Bookcase B,6,963,5778,908.41
1137,2023-07-31,CUST461,West,Furniture,Tables,Table B,3,257,771,183.58
1138,2023-09-13,CUST197,East,OfficeSupplies,Binders,Binder A,9,454,4086,271.92
1139,2023-10-13,CUST242,South,Technology,Laptops,Laptop A,5,123,615,81.33
1140,2023-03-06,CUST146,East,Technology,Phones,Phone B,1,783,783,132.19
1141,2023-03-04,CUST217,West,Furniture,Bookcases,Bookcase B,6,831,4986,1089.06
1142,2023-04-08,CUST105,North,OfficeSupplies,Paper,Paper A,3,515,1545,161.73
1143,2023-11-07,CUST006,West,Furniture,Chairs,Chair A,1,713,713,178.21
1144,2023-12-24,CUST259,North,Technology,Phones,Phone B,5,27,135,27.51
1145,2023-06-14,CUST202,North,OfficeSupplies,Paper,Paper A,3,149,447,43.9
1146,2023-01-01,CUST051,South,Furniture,Bookcases,Bookcase A,4,450,1800,406.16
1147,2023-10-15,CUST034,South,Technology,Phones,Phone B,8,555,4440,818.36
1148,2023-06-11,CUST438,West,OfficeSupplies,Art,Art A,6,775,4650,716.25
1149,2023-09-25,CUST449,West,Furniture,Chairs,Chair A,6,240,1440,233.55
1150,2023-08-10,CUST251,North,Furniture,Tables,Table A,9,405,3645,279.95
1151,2023-10-30,CUST407,West,Furniture,Chairs,Chair A,5,857,4285,762.18
1152,2023-03-16,CUST435,South,Furniture,Tables,Table B,7,426,2982,517.24
1153,2023-08-14,CUST294,East,Furniture,Tables,Table B,2,102,204,36.18
1154,2023-12-01,CUST347,South,Furniture,Chairs,Chair B,3,451,1353,264.21
1155,2023-09-06,CUST166,West,Technology,Accessories,Accessory A,1,988,988,229.31
1156,2023-01-30,CUST247,West,OfficeSupplies,Binders,Binder B,3,85,255,61.18
1157,2023-05-18,CUST184,South,Technology,Accessories,Accessory B,1,334,334,68.06
1158,2023-12-06,CUST472,West,Technology,Accessories,Accessory A,5,550,2750,478.94
1159,2023-07-24,CUST126,West,OfficeSupplies,Art,Art B,3,115,345,26.14
1160,2023-07-02,CUST336,North,OfficeSupplies,Art,Art B,6,916,5496,979.25
1161,2023-12-26,CUST388,East,Furniture,Tables,Table A,8,285,2280,522.94
1162,2023-07-14,CUST155,East,Technology,Accessories,Accessory A,2,65,130,11.5
1163,2023-10-04,CUST005,West,Furniture,Bookcases,Bookcase B,2,608,1216,145.34
1164,2023-01-22,CUST405,South,Furniture,Tables,Table B,6,517,3102,486.66
1165,2023-01-12,CUST346,West,Technology,Laptops,Laptop A,2,949,1898,286.0
1166,2023-10-28,CUST411,South,Furniture,Tables,Table B,9,798,7182,1507.37
1167,2023-05-01,CUST214,North,OfficeSupplies,Art,Art B,8,354,2832,230.51
1168,2023-02-17,CUST061,South,OfficeSupplies,Paper,Paper B,1,30,30,6.71
1169,2023-01-08,CUST113,West,Furniture,Chairs,Chair C,3,257,771,190.63
1170,2023-10-30,CUST127,North,Furniture,Bookcases,Bookcase B,8,730,5840,567.78
1171,2023-01-28,CUST471,South,Technology,Laptops,Laptop B,8,390,3120,622.42
1172,2023-01-14,CUST187,North,OfficeSupplies,Binders,Binder B,8,887,7096,1367.19
1173,2023-04-21,CUST407,West,OfficeSupplies,Art,Art B,2,510,1020,123.25
1174,2023-01-15,CUST192,East,OfficeSupplies,Binders,Binder B,9,635,5715,716.99
1175,2023-07-21,CUST039,North,Furniture,Tables,Table A,9,277,2493,230.08
1176,2023-05-06,CUST300,South,Technology,Accessories,Accessory B,9,149,1341,159.02
1177,2023-01-25,CUST068,South,Technology,Phones,Phone B,3,237,711,106.43
1178,2023-04-21,CUST228,West,Furniture,Tables,Table B,6,38,228,36.83
1179,2023-08-24,CUST083,West,Technology,Accessories,Accessory A,9,617,5553,680.89
1180,2023-10-09,CUST320,North,Furniture,Bookcases,Bookcase A,2,447,894,108.37
1181,2023-12-31,CUST454,North,Technology,Accessories,Accessory A,5,381,1905,185.63
1182,2023-05-30,CUST277,South,Furniture,Bookcases,Bookcase B,6,586,3516,348.76
1183,2023-01-04,CUST350,North,Technology,Phones,Phone B,8,827,6616,1445.35
1184,2023-08-31,CUST031,South,Furniture,Tables,Table A,8,233,1864,459.43
1185,2023-08-11,CUST006,South,Technology,Accessories,Accessory B,2,472,944,230.24
1186,2023-01-04,CUST335,South,Furniture,Bookcases,Bookcase B,6,122,732,74.36
1187,2023-03-03,CUST441,West,OfficeSupplies,Binders,Binder A,2,851,1702,267.23
1188,2023-01-26,CUST435,North,Furniture,Bookcases,Bookcase B,5,330,1650,401.94
1189,2023-11-20,CUST275,East,Technology,Accessories,Accessory A,4,229,916,180.68
1190,2023-05-20,CUST047,South,Technology,Laptops,Laptop B,1,94,94,19.13
1191,2023-02-07,CUST293,North,Technology,Phones,Phone A,4,849,3396,531.53
1192,2023-06-10,CUST390,South,OfficeSupplies,Art,Art A,2,14,28,4.47
1193,2023-05-18,CUST172,South,OfficeSupplies,Art,Art B,2,17,34,6.36
1194,2023-03-25,CUST321,South,Technology,Phones,Phone A,5,333,1665,336.41
1195,2023-02-07,CUST419,South,Technology,Accessories,Accessory B,1,585,585,126.43
1196,2023-08-24,CUST434,North,Furniture,Tables,Table B,5,380,1900,471.55
1197,2023-03-17,CUST483,East,Technology,Laptops,Laptop A,3,517,1551,307.45
1198,2023-03-01,CUST320,South,Furniture,Tables,Table A,8,783,6264,1309.51
1199,2023-09-27,CUST316,West,Technology,Accessories,Accessory A,3,729,2187,190.88
1200,2023-12-05,CUST379,South,Furniture,Bookcases,Bookcase B,4,605,2420,545.57
1201,2023-03-30,CUST402,South,Furniture,Chairs,Chair A,8,844,6752,930.61
1202,2023-01-14,CUST288,South,OfficeSupplies,Art,Art B,3,641,1923,212.06
1203,2023-01-23,CUST063,North,Technology,Laptops,Laptop B,1,669,669,81.0
1204,2023-11-05,CUST104,West,Furniture,Bookcases,Bookcase B,8,951,7608,1206.4
1205,2023-07-17,CUST134,East,OfficeSupplies,Paper,Paper A,3,395,1185,232.39
1206,2023-02-11,CUST448,South,Furniture,Chairs,Chair C,4,19,76,17.16
1207,2023-10-16,CUST500,South,Furniture,Chairs,Chair C,7,927,6489,1347.89
1208,2023-02-07,CUST441,North,Technology,Laptops,Laptop A,1,415,415,82.5
1209,2023-09-11,CUST196,West,OfficeSupplies,Art,Art A,6,838,5028,1018.13
1210,2023-05-03,CUST330,South,OfficeSupplies,Binders,Binder B,1,122,122,26.14
1211,2023-06-08,CUST303,North,Technology,Laptops,Laptop A,4,881,3524,266.05
1212,2023-07-03,CUST015,North,OfficeSupplies,Paper,Paper B,8,265,2120,312.22
1213,2023-11-20,CUST332,West,Technology,Accessories,Accessory B,2,415,830,147.93
1214,2023-08-31,CUST420,South,OfficeSupplies,Paper,Paper A,4,798,3192,320.35
1215,2023-03-10,CUST148,North,Technology,Laptops,Laptop B,8,554,4432,423.12
1216,2023-01-23,CUST303,East,Technology,Phones,Phone B,8,962,7696,539.94
1217,2023-04-21,CUST104,East,OfficeSupplies,Binders,Binder B,4,328,1312,272.92
1218,2023-10-20,CUST328,South,OfficeSupplies,Binders,Binder A,1,608,608,75.93
1219,2023-02-20,CUST029,South,OfficeSupplies,Binders,Binder B,8,301,2408,566.15
1220,2023-09-14,CUST302,South,OfficeSupplies,Paper,Paper B,5,409,2045,169.95
1221,2023-07-01,CUST471,South,Furniture,Tables,Table B,9,5,45,10.08
1222,2023-02-24,CUST371,East,Furniture,Bookcases,Bookcase B,8,915,7320,950.14
1223,2023-11-05,CUST137,West,Furniture,Chairs,Chair C,4,317,1268,64.57
1224,2023-10-18,CUST063,South,Furniture,Tables,Table A,4,541,2164,481.93
1225,2023-10-21,CUST386,East,Technology,Accessories,Accessory B,7,214,1498,218.96
1226,2023-12-13,CUST017,East,OfficeSupplies,Paper,Paper A,3,186,558,47.58
1227,2023-06-29,CUST198,North,OfficeSupplies,Art,Art A,5,860,4300,482.87
1228,2023-10-12,CUST063,South,Technology,Phones,Phone C,6,670,4020,211.53
1229,2023-02-18,CUST455,West,Technology,Phones,Phone B,1,88,88,12.48
1230,2023-05-28,CUST118,North,OfficeSupplies,Art,Art A,6,480,2880,452.2
1231,2023-12-26,CUST049,West,Furniture,Tables,Table B,7,773,5411,605.96
1232,2023-08-03,CUST435,East,Furniture,Chairs,Chair B,8,727,5816,697.21
1233,2023-06-07,CUST285,North,Furniture,Chairs,Chair A,1,433,433,54.36
1234,2023-05-24,CUST424,North,OfficeSupplies,Binders,Binder B,3,22,66,7.18
1235,2023-06-24,CUST498,North,Furniture,Bookcases,Bookcase B,2,506,1012,139.81
1236,2023-04-24,CUST222,West,Furniture,Chairs,Chair C,6,951,5706,462.46
1237,2023-09-21,CUST413,North,OfficeSupplies,Paper,Paper B,7,875,6125,1228.98
1238,2023-09-23,CUST458,West,Technology,Phones,Phone C,3,882,2646,410.97
1239,2023-03-28,CUST055,North,OfficeSupplies,Art,Art B,2,395,790,143.61
1240,2023-11-17,CUST313,East,OfficeSupplies,Paper,Paper A,7,839,5873,565.07
1241,2023-09-12,CUST328,North,Technology,Accessories,Accessory A,6,765,4590,963.82
1242,2023-03-08,CUST051,West,OfficeSupplies,Paper,Paper A,1,608,608,59.36
1243,2023-10-18,CUST096,East,Furniture,Bookcases,Bookcase A,8,82,656,111.94
1244,2023-10-29,CUST491,North,Furniture,Chairs,Chair C,4,504,2016,370.17
1245,2023-08-11,CUST311,South,Furniture,Tables,Table A,2,11,22,3.89
1246,2023-06-10,CUST151,North,Technology,Phones,Phone A,5,151,755,56.29
1247,2023-02-05,CUST285,East,Furniture,Bookcases,Bookcase B,2,518,1036,240.48
1248,2023-07-16,CUST404,West,Furniture,Chairs,Chair C,2,711,1422,238.98
1249,2023-01-20,CUST261,West,OfficeSupplies,Paper,Paper B,5,938,4690,960.36
1250,2023-08-14,CUST053,North,OfficeSupplies,Paper,Paper A,3,504,1512,370.3
1251,2023-12-30,CUST280,South,Technology,Accessories,Accessory A,1,718,718,117.15
1252,2023-02-28,CUST494,South,OfficeSupplies,Binders,Binder B,7,132,924,79.85
1253,2023-04-25,CUST209,South,Furniture,Bookcases,Bookcase A,9,556,5004,949.6
1254,2023-10-08,CUST359,South,OfficeSupplies,Binders,Binder B,9,762,6858,1227.66
1255,2023-01-04,CUST154,North,Technology,Accessories,Accessory B,2,731,1462,272.86
1256,2023-11-22,CUST146,West,Furniture,Bookcases,Bookcase A,5,46,230,38.02
1257,2023-02-03,CUST017,North,Furniture,Bookcases,Bookcase A,5,157,785,117.35
1258,2023-03-17,CUST087,South,OfficeSupplies,Paper,Paper A,5,878,4390,342.44
1259,2023-01-27,CUST313,West,Technology,Laptops,Laptop B,6,735,4410,747.42
1260,2023-09-25,CUST237,North,OfficeSupplies,Binders,Binder B,9,825,7425,631.68
1261,2023-06-22,CUST401,North,Furniture,Bookcases,Bookcase A,5,480,2400,490.04
1262,2023-02-15,CUST064,North,Technology,Accessories,Accessory B,2,826,1652,326.45
1263,2023-11-03,CUST181,South,OfficeSupplies,Binders,Binder A,4,375,1500,148.6
1264,2023-05-29,CUST267,East,OfficeSupplies,Binders,Binder B,8,15,120,14.54
1265,2023-04-23,CUST187,West,OfficeSupplies,Paper,Paper A,7,748,5236,854.94
1266,2023-04-08,CUST055,North,OfficeSupplies,Paper,Paper B,8,762,6096,469.39
1267,2023-11-08,CUST289,East,Furniture,Bookcases,Bookcase B,4,755,3020,309.41
1268,2023-08-15,CUST244,East,Furniture,Chairs,Chair B,1,962,962,231.89
1269,2023-07-20,CUST154,South,Technology,Phones,Phone A,2,505,1010,120.07
1270,2023-10-23,CUST017,South,OfficeSupplies,Art,Art A,1,221,221,42.21
1271,2023-04-14,CUST042,South,OfficeSupplies,Binders,Binder B,9,43,387,25.23
1272,2023-08-17,CUST108,North,Furniture,Chairs,Chair C,3,482,1446,73.82
1273,2023-01-12,CUST275,East,Furniture,Chairs,Chair B,5,48,240,50.76
1274,2023-11-01,CUST445,North,Furniture,Chairs,Chair C,1,334,334,62.83
1275,2023-10-30,CUST012,East,Furniture,Tables,Table A,8,343,2744,539.05
1276,2023-05-29,CUST081,East,Furniture,Bookcases,Bookcase A,7,489,3423,645.08
1277,2023-07-17,CUST200,North,Furniture,Bookcases,Bookcase A,9,470,4230,625.55
1278,2023-05-23,CUST059,North,Technology,Accessories,Accessory B,9,881,7929,1458.81
1279,2023-10-15,CUST266,West,OfficeSupplies,Binders,Binder B,7,405,2835,244.14
1280,2023-03-27,CUST250,South,Technology,Accessories,Accessory A,7,786,5502,407.72
1281,2023-01-07,CUST137,East,OfficeSupplies,Binders,Binder A,3,692,2076,151.67
1282,2023-11-11,CUST215,West,OfficeSupplies,Paper,Paper B,2,227,454,100.97
1283,2023-04-13,CUST273,North,Technology,Accessories,Accessory A,8,999,7992,1295.79
1284,2023-10-28,CUST098,East,Technology,Laptops,Laptop B,3,809,2427,378.74
1285,2023-07-02,CUST471,South,OfficeSupplies,Binders,Binder B,7,531,3717,783.53
1286,2023-01-04,CUST349,West,OfficeSupplies,Art,Art A,6,925,5550,1096.52
1287,2023-06-10,CUST016,East,Furniture,Chairs,Chair B,2,315,630,89.7
1288,2023-02-03,CUST414,South,Furniture,Chairs,Chair A,7,785,5495,856.05
1289,2023-04-06,CUST227,North,Technology,Accessories,Accessory A,7,818,5726,687.94
1290,2023-11-14,CUST245,South,OfficeSupplies,Paper,Paper A,9,276,2484,558.24
1291,2023-08-27,CUST377,South,OfficeSupplies,Binders,Binder A,9,363,3267,504.76
1292,2023-03-06,CUST478,East,Technology,Laptops,Laptop A,1,7,7,1.0
1293,2023-06-07,CUST498,West,Furniture,Chairs,Chair A,4,150,600,58.03
1294,2023-06-02,CUST432,South,Technology,Phones,Phone B,1,953,953,235.91
1295,2023-03-14,CUST399,North,Furniture,Bookcases,Bookcase B,1,893,893,166.04
1296,2023-05-20,CUST187,West,OfficeSupplies,Paper,Paper B,5,65,325,33.08
1297,2023-07-17,CUST295,West,Technology,Phones,Phone A,8,323,2584,617.44
1298,2023-01-11,CUST062,South,Technology,Laptops,Laptop B,2,157,314,62.38
1299,2023-09-17,CUST059,North,Furniture,Tables,Table A,8,664,5312,1155.71
1300,2023-11-06,CUST373,North,Technology,Laptops,Laptop B,3,497,1491,110.44
1301,2023-04-17,CUST226,West,Furniture,Bookcases,Bookcase B,9,222,1998,114.58
1302,2023-09-16,CUST376,West,Technology,Accessories,Accessory B,6,521,3126,192.46
1303,2023-02-16,CUST215,South,Technology,Phones,Phone C,1,525,525,123.66
1304,2023-08-29,CUST061,South,Technology,Phones,Phone C,3,694,2082,308.63
1305,2023-05-25,CUST216,West,OfficeSupplies,Paper,Paper A,3,164,492,70.2
1306,2023-09-26,CUST120,West,Technology,Phones,Phone B,9,333,2997,686.27
1307,2023-12-23,CUST098,South,Furniture,Tables,Table B,9,956,8604,887.24
1308,2023-01-29,CUST137,North,Furniture,Chairs,Chair C,3,925,2775,611.72
1309,2023-06-19,CUST009,East,Furniture,Bookcases,Bookcase A,8,541,4328,693.22
1310,2023-08-14,CUST472,North,OfficeSupplies,Paper,Paper A,6,332,1992,376.77
1311,2023-06-25,CUST090,South,OfficeSupplies,Paper,Paper A,2,458,916,222.06
1312,2023-06-25,CUST461,South,Technology,Laptops,Laptop B,5,977,4885,1075.88
1313,2023-02-09,CUST301,East,OfficeSupplies,Paper,Paper A,3,702,2106,345.94
1314,2023-02-09,CUST354,North,OfficeSupplies,Binders,Binder A,8,863,6904,1538.89
1315,2023-10-16,CUST262,North,Furniture,Tables,Table A,8,151,1208,270.15
1316,2023-04-02,CUST353,South,Technology,Laptops,Laptop A,9,785,7065,1535.95
1317,2023-12-11,CUST181,South,Technology,Accessories,Accessory B,4,195,780,148.04
1318,2023-07-07,CUST007,North,Furniture,Tables,Table A,5,751,3755,909.7
1319,2023-09-06,CUST499,North,Technology,Phones,Phone B,7,430,3010,228.08
